userName,score,at,content
LEOBIN CR,5,2023-07-09 10:56:08,😀
Nabila Putri,3,2023-07-09 10:53:12,"Tolong dong threads ada fitur translate,,,ini anak nct udh buat akun ntar susah kalo pake hangul"
Abdullah Azzam,5,2023-07-09 10:52:27,Gw dukung mark
Zaky Copywriter,5,2023-07-09 10:51:18,Aplikasi keren yg sangat membantu branding. Terimakasih. Semoga sukses selalu.
Risna Prasita,3,2023-07-09 10:49:28,"Maaf aku kasih bintang 3 dlu,tolong threads buat fitur translate,kita yang download buat bujang² kpop kita,tidak mengerti bahasanya,tolong yaa threads Adain fitur terjemahan , terimakasih"
Syahied Adhim,3,2023-07-09 10:48:20,ngebug
Hpyngl,4,2023-07-09 10:45:13,Saran aku sih kasih translate soalnya susah juga kalo ayang ku update tp ngak ngerti artinya 😭
Ilham Ardiansyah,2,2023-07-09 10:44:58,"Apa karena tersambung , akun Instagram saya tidak dapat dibuka (forceclose) ??? tolong dong ini mana first acc lagi"
Rizka Maria,4,2023-07-09 10:40:20,Aq kasih 4 dulu y ABG Mark Soalnya fitur belum lengkap Tp sejauh ini appnya simpel
pik cahyanti,3,2023-07-09 10:37:06,"Masih blm ada fitur terjemahan, dan lencana threads di ig harus bisa diatur"
abdillah halim,1,2023-07-09 10:34:30,"Gara gara instagram membuat aplikasi threads, ketika saya log in thread malah force close. Tolong Instagram diperbaiki, jangan membuat aplikasi sampah!"
Haikal Hyakuya,1,2023-07-09 10:29:23,Apk sampah
With me,1,2023-07-09 10:27:27,gak bisa di hapus akun thresds kecuali aku instragramnya di hapus
MY BUSINESS,5,2023-07-09 10:21:21,Good
Legend Gaming,4,2023-07-09 10:20:28,Good kembang kan lagi.
Anggun Trichya,3,2023-07-09 10:20:24,katanya aplikasi threads ini bahaya yaa???😁
Furi Fiana,2,2023-07-09 10:18:50,"Abis download treads,IG jadi eror dan gak bisa dibuka Gimana ini ???"
Elly Kim,5,2023-07-09 10:16:07,Ok
Sultan Ajis,5,2023-07-09 10:13:26,Good
Ia aaam,3,2023-07-09 10:12:42,Akun ig jdi ke logout sendiri setelah pake threads
NUR ROHMAN,2,2023-07-09 10:08:48,"Saya mendapatkan bug, tidak bisa membahagiakan status saya ke story ataupun yang lainnya"
Fauzan Arbain,3,2023-07-09 10:07:09,Tambah mode gelap 😂
Raki Subagja,3,2023-07-09 10:05:30,Aplikasi artis
15_Kholifa Safitri,3,2023-07-09 10:03:53,"This is great, BUT PLEASE PROVIDE A TRANSLATE"
Ristella Cinere,3,2023-07-09 10:02:41,"Nggak terlalu mirip sama si burung. Aku butuh fitur semacam translate, tagar, pokoknya yang persis si burung. Selain itu kayanya udah oke. Oh iya, tolong tambahin fitur edit dong pas nge threads. Biar kalau ada typo or something bisa diperbaiki. Mungkin kalau terlalu mirip bakal di cap plagiarisme ya? Idk but aku bener bener butuh fitur yang kusebutin diatas. Resolusi pas ngunggah foto juga tolong diperbaiki. Tq"
04.Alvian Delius Nathaniel,5,2023-07-09 10:00:35,Good
Zahra listy,3,2023-07-09 10:00:10,belum bisa translate bahasa...
Clara Shavira,1,2023-07-09 09:57:27,"Baru sejam, tiba2 di ig ada org login di tempat yg beda, langsung ganti pw wkwk"
A.Dirgahayu Attaya,4,2023-07-09 09:55:43,Bagus bangett tapi sayangnya ga ada topic trending gituu terus kalo kita search pasti yang muncul akun akun doang ga ada kek postingan orang lain
Kevin Saverio,5,2023-07-09 09:52:15,Keren
aku nathan,5,2023-07-09 09:46:58,musuhnya si burung😂
B agas,5,2023-07-09 09:43:55,"Aplikasinya bagus sekali, bisa ngetik 5000 Character"
Milianti El-Sayuthie,5,2023-07-09 09:42:11,Download ini karena Haechan Sama Jaemin NCT make 😂😂😂
dwiyan priana,2,2023-07-09 09:32:29,Kek nya masih awal² soalnya setiap mau upload foto keluar² mulu kesel guaa.... Gak kaya yang lain pada bisa kenapa yaa kasih solusi dong minnn....
Upik Upik,1,2023-07-09 09:29:29,Ada bug 1. Keluar aplikasi terus logout bebarengan dengan IG 2. Tiba tiba force close Saran 1. Tolong ada fitur translate 2.simpan foto dan video
Dani Kristanto,3,2023-07-09 09:18:41,"Sebenernya aplikasi sudah bagus, tapi kenapa setelah itu akun Instagram saya tidak bisa dibuka, setiap buka aplikasi Instagram keluar sendiri, mohon untuk segera dibenarkan bug ini, terimakasih"
Jaena,3,2023-07-09 09:04:10,Tambahkan fitur translate
Chairina fadhillah,3,2023-07-09 09:01:48,bgus tp kurang lengkap soalnya gda translate nya😵‍💫
Noor Afif Wicaksono,2,2023-07-09 08:59:36,"gara"" ni aplikasi ig syulit dibuka"
Dio Saputra,5,2023-07-09 08:59:30,Sangat bagus
Putri Febriyanti,5,2023-07-09 08:58:06,Its very good application
Gilbert Amadeo Sietrawandy,5,2023-07-09 08:55:51,This is better then twitter
Mamah Damayanti,3,2023-07-09 08:54:33,"Lumayan bagus, mohon ditambahkan fitur: 1. Notifikasi followers tidak digabung 2. Bisa lihat following yang tidak followback 3. Schedule posting 4. Jumlah likes di profil seperti aplikasi TT 5. Search keyword untuk posting / trending"
Rama 08,1,2023-07-09 08:46:49,Aplikasi apa sih pas bukak aplikasi langsung getar getar kek ngebug anjir kek m***k
Rahmad Adriyan,5,2023-07-09 08:39:22,"Ngasih ulasan itu yg bener, katanya pakai threads ngeleg, ini lah itu lah, ini kok saya makek nya bagus² aja, padahal hp saya tipe kentang, bagus² aja ini saya make nya, gak ada yg ngeleg atau yg lainnya."
Diva Wahyu Ramadhan,3,2023-07-09 08:36:15,tak ada terjemakan bahasa. tak ada base ku pantau. mode gelap. tranding juga gada. tapi gapapa
Chenk M,5,2023-07-09 08:31:49,ok
Sigit Febriansyah,1,2023-07-09 08:29:42,Masih blm bisa ini para Kek Ngeglich gitu pas si scrol
Sisi Persalia,1,2023-07-09 08:29:28,Nomor threads yang disembunyikan di bio Ig tidak bisa di kembalikan lgii
aeruu ryu,3,2023-07-09 08:28:49,When I open threads the text is stacked/shaded
Mahfud Rama Surya Budianto,5,2023-07-09 08:24:25,"Untuk pertama kalinya, threads mengalami down 😂"
Nama Saya,5,2023-07-09 08:23:35,Plagiat Twitter wkkwkwkw
Muhamad Reyhan,1,2023-07-09 08:21:11,terdapat glitch ketika menggunakan mode gelap.
Yohanes Aritonang,5,2023-07-09 08:11:11,Apk ny bagus banget
Dhiya Ulhaq,5,2023-07-09 08:09:58,Good app
Abay,3,2023-07-09 08:09:53,Not bad
Im Idnic,2,2023-07-09 08:07:34,"Bang tolong tambahin fitur translate aelah, ini biar gue paham kalo cokpop gue update, add translate feature please😭"
Alif SyahPutra,1,2023-07-09 07:59:29,"aneh, padahal dah keinstal tapi tidak muncul di halaman layar, saya yakin ini bug aplikasinya, karena saat saya mencoba mengunduh aplikasi lain baik² saja tapi saat threads di instal tidak mau muncul di halaman layar. Bahkan saat dicoba untuk dibuka dari playstore pun tetap tidak bisa, tapi setelah saya hapus dan unduh lagi selama 3x baru bisa. Hadehh buang buang kuota internet"
YO Media,1,2023-07-09 07:55:42,Too many bug
Hendro Surono,1,2023-07-09 07:48:13,Nuub beban
desrianaamelia,4,2023-07-09 07:44:47,Sejauh ini apk bagus banget Cuma kurang fitur translate aja
Nurul inayah,1,2023-07-09 07:44:19,Eror. Masa baru buka udah tampilan eror.
Rafalia Griselda,3,2023-07-09 07:43:45,tidak ada translate
Jazzy Bire,5,2023-07-09 07:38:40,Ayolah Threads kalo mau Nyaingi Twitter harus buat lebih bagus lagi dari Twitter agar pengguna lebih nyaman.
Zafira Usman,2,2023-07-09 07:37:35,Gk suka baru buka langsung nge bugg
Nesta Dwi,4,2023-07-09 07:35:09,Bagus tpi lebih bagus lagi tolong adakan terjemahan kata nya
p js,1,2023-07-09 07:28:16,di gua bug bngttt cokkkkk 😭😭😭😭😭😭
Dinda Dzakira,1,2023-07-09 07:25:31,"akun aku hilang gara"" ngeuninstal threads, apk apa sih ini, yang nyiptain apk ini stress anjg, segitu nya bgt kah sampe harus ikut ngilangin akun, supaya ga ada yg ngeuninstal threads?, gitu cara nya?, stress sumpah ini apk ga guna, udah ngikut""in tweater, apa coba 🤬"
Renzii 01,1,2023-07-09 07:24:33,ngebug apk nya
AmarkingNT,5,2023-07-09 07:24:29,Ini nih yg keren nih
Kevin Ahmad Fahrezy,5,2023-07-09 07:16:45,"It's good, just add the post or comment translation feature"
Agustinus Tamba,1,2023-07-09 06:47:24,"dasar apk pembodohan, Ig saya ke hack gabisa masuk masuk. awas kalian"
Ayu Syafitri,4,2023-07-09 06:29:26,"Aplikasinya baguss, saya nyaman pakainya. Saya predikis aplikasi ini bakal jadi app yang rame sih kedepannya. Cuman minta ditambahin fitur-fiturnya dong. 1. EDIT THREAD (soalnya kalau ada salah di konten yg udah kita upload, itu harus hapus lagi dan ketik ulang. Repot; 2. PENGAPLIKASIAN TAGAR (Biar pengguna lebih mudah menjangkau konten kesukaan mereka, jadi pas di pencarian, jangan cuman akun-akun penggunanya aja yang muncul, tapi juga sama konten yg tagarnya terkait dengan yang kita cari)"
kadex jarot,3,2023-07-09 06:27:33,"Gamenya susah, gimana mau namatinnya? gapernah dapet like share and koment"
Hilyatul Ma'rifah,4,2023-07-09 06:25:37,"Tolong tambahin fitur edit dong, misalnya yang kayak typo gitu trus bisa diedit, biar gak cape klo typo malah hapus😊tambahin terjemahan jg donggggggg😀🫶🏻"
Hani ksmwt,5,2023-07-09 06:24:06,Okee lahh good
Flower Man,1,2023-07-09 06:23:05,"To much bug in this app, i have bug on the screen"
Bapak Prabowo,5,2023-07-09 06:19:57,TWITTER OR THREADS :)
Muhammad Raihan Ihsan,1,2023-07-09 06:19:16,waktu menonaktifkan akun dan ingin menghidupkan kembali malah trus menerus terjadi kesalahan dan tidak bisa login lagi
Jamal crb22,5,2023-07-09 05:52:42,"Aplikasinya bagus, bawaanya lebih positif dan bisa sharing ilmu juga. Saran saya tingkatkan kembali aplikasinya dan perbaiki bug yang terjadi. Terimakasih"
Wahyu Bingar,5,2023-07-09 05:47:39,Seru
Bang Af,3,2023-07-09 05:42:58,"Tetap bagusan Twitter, Twitter segudang video hee"
Chaterin Vanessa,5,2023-07-09 05:29:06,aku down ini karna HAECHAN down apk ini juga Wkwkw
Oktava,1,2023-07-09 05:00:30,dikit2 force close
Ko setiaOne,1,2023-07-09 04:58:01,banyak bug
dope boyz,1,2023-07-09 04:55:49,"Hancur, klu seandainya bisa kirim SS, sy kirim deh kerusakannya. Semuanya menumpuk."
Chazzy Chanz,3,2023-07-09 04:18:25,still lacking some features for android version such as option to chose images from different folders (unlike ios who's had at least save image option) COME ON! BE FAIR WITH ONE ANOTHER!
Virgi Fahrezy,1,2023-07-09 03:45:33,"Wah...bug nya parah banget sih... Untuk sekelas ""meta"" meskipun ini apk baru,harus nya bisa lebih di optimalkan lagi sebelum di rilis... Klw begini kan kesan pertama org org bkl jelek banget..."
Antah Lah,1,2023-07-09 03:44:58,"Bug nya Parah banget beranda ngebayang parah udah dicoba hapus data login ulang tetap aja gitu, mungkin masih baru ya nanti kalo udah diperbaiki bugnya dikasih bintang 5"
Ferlin Resnu,5,2023-07-09 02:56:06,Sejauh ini bagus dan simpel tampilannya
Dustin Henderson,1,2023-07-09 02:42:47,elek bikin ig mental
Inggrit Setya Budi,5,2023-07-09 02:28:16,"Bagus sih, bisa jadi pengganti twitter kalau bisa ditambahkan lagi fiturnya."
Mir Otozenkai,4,2023-07-09 02:17:46,"Gak bisa upload foto, kadang bisa kadang nggak sih"
CAHAYA ISLAM,1,2023-07-09 02:17:44,Aplikasi pekok.... Mark Zuckerberg tolol pandenya jiplak Twitter 🤦... Gak Inovatif isi otak lu
Gama Liel,1,2023-07-09 02:17:24,"masi banyak bug yg harus diperbaiki,seperti layar menjadi mix saat di scroll"
Sudartik Titik02,5,2023-07-09 02:13:42,"Gacor nih apk bagus bgt ,jadi suka deh sama ni apk"
Alghifarrie Channel,1,2023-07-09 01:58:38,Before release the apps to go public. first you have checked it. Im on first time using this and found my screens are glitch and any on. You dont believe or dont understand about my means? Message me On emails then i'll show it to you
Arga Dian,5,2023-07-09 01:38:52,"""Gua liat foto gk bisa close "" ,Hp lu kentang bego jangan maksa"
Wildan Mardiansyah,1,2023-07-09 01:37:22,Bug jir
FHN Channel,4,2023-07-09 01:30:55,Cobain dulu
Rika Rachmayanti,3,2023-07-09 01:30:20,Kenapa lencana nya kalo udah di hapus ga bisa di balikin lagi ?
Nadiyah Nadiyah,1,2023-07-09 01:23:32,"ukuran aplikasinya gede 70an mb, tapi fiturnya sedikit (bingung mau cari apaan disana) dan banyak bugnya"
Gusti Rahmadian,4,2023-07-09 01:09:33,"saran untuk next update, beranda following sama beranda publik tolong dong di pisahkan. biar lebih enak aja ngeliat threads following sama publik kepisah"
Ahmad Ilham surya,5,2023-07-09 01:05:00,Bagus
Aulia Regina,2,2023-07-09 01:03:00,Gk bisa di buka apk nya
Dicky Wahyudi,5,2023-07-09 01:01:23,Fresh saya suka
Over power Op,5,2023-07-09 00:58:05,Ok
Alfi Rosandi,1,2023-07-09 00:55:38,Gajelas bacaannya numpuk
Nuri Amalia,5,2023-07-09 00:47:19,☝️
24.Muhammad Nur Alim,2,2023-07-09 00:39:26,"Ketika di scroll semua content terulang seperti ketika anda berhasil memenangkan permainan solitaire pada windows xp mungkin mark ingin membuat efek motion blur atau apa saya tidak tahu, bug ini hilang jika saya membuka recent app saya dan menutupnya kembali namun bug ini akan tetap ada ketika saya menscroll halaman"
gibran alfatih,5,2023-07-09 00:26:18,Ok manntap
Bagus Ardianto Adi Saputro,5,2023-07-09 00:25:55,Baru mencoba
Bianca Loka,1,2023-07-09 00:25:43,"Yeee bijiii, kok fitur posting feed langsung ke Instagram hilang? Mrak Jukerbrek gw jitak lama-lama pala lu dah"
Felicia Ayuningrum,5,2023-07-09 00:22:19,Apkny bagus cuma tambahin aj fitur terjemahan
Reyvando Oktavian,1,2023-07-09 00:14:05,Terdapat bug
Javier Naufal Akbaro,1,2023-07-09 00:10:49,UI nya bikin layar rusak + error
jose tirta,5,2023-07-09 00:10:35,Aplikasi nya bagus cuma masih ada banyak bug tolong perbaiki lagi yah makasih
Rochman Wachid,2,2023-07-09 00:04:04,Bintang dua dulu.. Aplikasi uda bagus tp blom sempurna
Gibran Khayru Rachman,3,2023-07-09 00:01:08,"kecewa karena ada bug , saat saya mengscroll kebawah dan keatas, tampilan beranda,tulisan, teks teks, poto, dll... seperti tampilan error, jadi saat di scroll teks/poto nya seperti tidak mau bergerak"
YUDI PRATAMA,1,2023-07-08 23:58:24,Bikin ih error ni apk
uli Uli,5,2023-07-08 23:51:20,Wow
Jurian Erinanda,4,2023-07-08 23:47:21,"Cepetan punya algoritma deh, ngeselin banget isinya Threads artis indo. JELEK!"
Try Maya Andira,1,2023-07-08 23:46:56,Bug parah.... Gak tau lagi deh bilangnya
NOVELLA ANGGRAINI,2,2023-07-08 23:45:06,"Ini hp xiomi yang gk cocok sm aplikasinya, apa aplikasinya yg lg down ya, harus di kaji lagi masak di buka kelip kelip bagaikan bintang nan jauh disana"
Padma Laras,5,2023-07-08 23:42:10,Semenjak ada apk ini saya jadi ada kegiatan untuk begadang.
Bagas Jabbar Isnain,4,2023-07-08 23:41:47,Tambahin rekomendasi topik dong dan pemilahan agar tulisan kita banyak dilihat orang
Rizq894,5,2023-07-08 23:36:00,Blud really make him so mad
rifqi nafis,1,2023-07-08 23:23:39,"Akun IG gua gak bisa dibuka semenjak login threads, bug parah"
Agnicka Azzahraa,1,2023-07-08 23:18:37,Aplikasi ini bisa membuat akun Instagram saya keluar sendiri dan hanya bisa memakai Ig lite
Endra Irawan,4,2023-07-08 23:12:03,"Ada bug mungkin hanya pengguna android saja yang mengalami, bug glich.. Padahal baru login dan baru 1 sentuhan scrol langsung tampilan nya nge-glich, Mohon diperbaiki dan mampu menjadi pengganti twitter"
Qotrunada Fasya,4,2023-07-08 23:10:20,lumayan. tpi klo bisa disisipi lagu enak lagi
Hendri 22,4,2023-07-08 23:07:19,"Tolong tambahkan opsi simpan/unduh foto seperti twitter, opsi simpan postingan, hastag, dan trending, untuk sementara akan saya maklumi karena ini aplikasi baru berumur 1 hari"
Ferron Gistah,5,2023-07-08 23:07:05,bagus buat pengganti twitter yang di limit 600post/hari
Rasam enjoy,1,2023-07-08 23:06:55,"HAI,IYA KAMU YG SEDANG BACA KOMEN SAYA, TOLONG JNGN MENDOWNLOAD NYA. KARENA APK INI BISA MEMBAHAYAKAN ATAUPUN AKUN KALIAN DI IG BISA HILANG DENGAN LOGIN DI APK INI MENGGUNAKAN AKUN SATU SATUNYA,KALAU KALIAN MAU LOGIN DI APK INI SEBAIKNYA KALIAN PAKE AKUN FAKE TERLEBIH DAHULU UNTUK PEMBUKTIANNYA!!!! APK SAMPAH!!!."
Rafi Anggit Wibowo,3,2023-07-08 22:52:21,"masih ada bug, tulisan saling tertumpuk"
Rahman Ganteng,3,2023-07-08 22:44:25,Mntp ni
M irfan Gunawan,5,2023-07-08 22:43:10,Semoga kedepannya atas hastagnya
Qalesya Lubis,1,2023-07-08 22:39:11,"ig ku gabisa dibuka, karnaa inii"
retno wulandari,1,2023-07-08 22:37:12,Kenapa ya setiap di pake posting foto langsung hank
Januar Ragil,1,2023-07-08 22:33:44,"Bug,banyak tulisan tertumpuk saat di geser"
DanangFR,4,2023-07-08 22:29:34,"I don't get any notifications from this application, even though I have activated all the notifications.🙂"
Prince George Imanuel Sondakh,5,2023-07-08 22:28:08,Bagus kok
X Zz,1,2023-07-08 22:19:13,Its gliching on my phone
Pratama Rdtya,5,2023-07-08 22:15:03,Good
Aan Akihiko,4,2023-07-08 22:13:53,Tolong tombol postingnya dipindahin ke atas plisss🥺
Allisya Fitri Dewi,1,2023-07-08 22:13:02,"Mengalami kendala upload foto, sering crash"
AHMAD HABIBI,1,2023-07-08 22:12:28,"Ini apk agak laen ku tengok .. kyk apk pinjol ilegal, banyak kali minta izinnya?"
Edwin Yunior,1,2023-07-08 22:09:04,woi ig gue jadi force close terus gara gara aplikasi ini anjingggg
upi pribadi,1,2023-07-08 22:04:01,bahaya😞
abdi sunandar,3,2023-07-08 22:02:35,Tidak ada pengaturan beranda untuk memisahkan tampilan trending dan akun yang diikuti.
nurul fuad,3,2023-07-08 21:56:09,Belum genap 24jam saya instal di hp android. Kok tampilannya goyang dan kabur ya?
Saepul Bahri,3,2023-07-08 21:53:59,Banyak akun Ig caper
HENRY GZ,1,2023-07-08 21:53:18,Hpus aja apk nya ajg
Muhammad Reza Adi,1,2023-07-08 21:52:45,Apk lawak
titi nurhaliza,1,2023-07-08 21:52:16,buruk sekali dan merugikan
Rafli Sidqi,5,2023-07-08 21:52:07,Aplikasi bagus
charis,3,2023-07-08 21:52:04,Lumayan bagus tapi masih banyak bug
Muhammad Dandy ID,5,2023-07-08 21:44:45,Good
Rinipuha Handayani,4,2023-07-08 21:40:30,"Cukup baiksi menurutku, tp seharusnya no yang bisa ditampilkan di bio ig kalau sudah dihapus bisa dipasang kembali, jangan hanya sekali, tp maklum la ya baru awal, semoga bisa diperbaiki"
EVG7x LetoyM,2,2023-07-08 21:36:06,Sebelum pakai dan menggunakan akun instagram di Threads tidak ada masalah tapi pas habis login akun instagram di Threads kenapa jadi gak bisa pake akun itu dan setiap buka instagram pakai akun itu selalu force close
Annas Hattaradian,3,2023-07-08 21:31:34,"Masih nunggu update perbaikan bug, terutama glitch di tipe smartphone tertenu"
Sultan Junior123,1,2023-07-08 21:30:05,"Ga bagus di dalam nya banyak bocah alay entah dari mana dia nongol tiba tiba suasana yang ada di sana berasa masuk ke jaman Majapahit, banyak banget disana artis norak dan bikin CP nya sama persis kaya dulu Facebook baru pertama rilis duh gimana nih uy ga bagus banyak bocah puber dan banyak tua tua Bangka yg baru keluar goa dan langsung jadi puber"
Gova,5,2023-07-08 21:28:57,Fix More or less apps are better ? Can help learn to support the country ! Don't believe that lies....
naina,1,2023-07-08 21:22:15,"gr gr download threads, ig ku mulai kluar kluar sendiri"
haschwalth almighty,1,2023-07-08 21:19:18,ig ku raiso di bukaa NGENTOTTTT
Binfa Entertainment,5,2023-07-08 21:15:59,Saya ada ide untuk pengembangan aplikasi ini
Defi Masliha,2,2023-07-08 21:15:05,"nge bug parah, tulisan numpuk pas di scroll bener bener gabisa dibaca samsek, dari awal download sampe uninstall trus download lagi belum bisa dipake juga"
Mikaloki Sky,3,2023-07-08 21:14:53,Waktu bikin thread kok agak ribet ya..
M.I Kelian,5,2023-07-08 21:11:14,Ketika saya pergunakan aplikasih ini. Tidak membohongi pengemar .
Testnet Hunter,1,2023-07-08 21:07:05,Gak ada kebebasan. Berbicara
Varian Lakalay,5,2023-07-08 21:06:38,Mantap
Adelia Felisha Sastyaviane,1,2023-07-08 20:58:46,"Jelek apk nya, kode digit nya GK di kirim²"
Dan Mumun,1,2023-07-08 20:55:57,Bug
Alif Sidiq Zaelani,5,2023-07-08 20:52:51,Lumayan
SMANSA,1,2023-07-08 20:51:57,gara² download ini Ig gua erorr
Andy Sesar Septiyawan,1,2023-07-08 20:45:31,Akun Instagram saya akan hilang jika saya menghapus akun Threads
Nayla Fitriyah,1,2023-07-08 20:43:14,Terdapat bug apk tdk mau terbuka ( error )
Umieka MediAA,5,2023-07-08 20:33:49,"Suka, nunggu perkembangannya semoga sesuai harapan"
Ilyas Pevensie,4,2023-07-08 20:26:53,"Sementara ga buka dulu, nunggu ada mode gelap baru balik"
Mery Fitryya,1,2023-07-08 20:26:31,Parah sih punyaku malah keluar terus aplikasinya
masliawarni masliawarni,4,2023-07-08 20:23:21,Apk ini sangat perfesional saya sangat menikmatinya...☕☕
Darell Tedri Raditiya,5,2023-07-08 20:22:33,"bagus, mirip mirip lah sama twitter, bedanya di sini centang hiru ga harus bayar, ga perlu berlangganan kayak netflix"
N. Telaumbanua Caper,5,2023-07-08 20:18:16,Ok
donthaveaneme,4,2023-07-08 20:17:09,"perbaiki bug nya dulu ya, baru bagus"
Arii Haxor,4,2023-07-08 20:12:19,"Harus refresh refresh terus ketika update atau hapus pesan atau yg lainnya udah si itu aja masih belum live refresh kek Facebook, dan fitur chat, fitur download gambar / video, fitur rethreads counter nya semoga cepet ada Terimakasih"
Navlav Zp,4,2023-07-08 20:11:30,"Saya apresiasi pada akun kedua ig, cuma saya mohon izin, cara menghapus akun nya gimana😪..."
Okki Yuda Pratama,3,2023-07-08 20:04:09,Kenapa password IG mudah sekali di retas orang ya.setiap masuk akun threads
Daffa Sakha W.,5,2023-07-08 19:56:18,is this twitter apps?
nur alam kurniawan,3,2023-07-08 19:55:52,Kok error' ya pas digeser geser kemana mana
Juwandi Juwandi,5,2023-07-08 19:54:19,"Karena masih baru, masih bingung sama fitur2nya. Tapi kayaknya sih mirip2 kyk IG"
Yudaa007_,5,2023-07-08 19:48:27,"Banyak yang protes, namanya juga baru rilis, nanti juga update sendiri"
VleezyGaming23,4,2023-07-08 19:45:54,"Sedikit saran beberapa fitur buat aplikasi ini.. mungkin bisa di optimalkan fitur zoom foto. Soalnya kadang susah klo mau liat foto gabisa di zoom.. terus mungkin tambahin Hastag (#) juga. Biar orang klo mau nulis caption tertentu bisa dijangkau lebih luas. Terus... Klo emang mau disamakan dengan Twitter, ada 2 tab beranda. Seperti Following dan For You. Oh! Sama satu lagi.. Tambahin opsi media berupa Galeri bawaan di bagian post tweet. Jadi supaya orang gampang milih foto di dalam galeri ."
Heru Novianagara,5,2023-07-08 19:45:18,"saya kasih bintang bkn brrti bagus yah, tp saya suka angka 5, belum dicoba soalnya, thx admin"
Muhammad Viqram,1,2023-07-08 19:42:24,Centang biru sampah di timeline 💩
ށ,1,2023-07-08 19:41:03,"Perbaiki bug text yang bertumpukan saat di scroll, bug nya parah sangat menggangu, terimakasih."
A Sins,3,2023-07-08 19:36:55,Masi datar
3ID01_Rendi Barlian,2,2023-07-08 19:35:25,Saya menemukam titik bug pada aplikasi ini. pada saat melakukan postingan foto tersebut tiba-tiba aplikasi saya terhenti dan close forced. mohon diperbaiki
Fahri05 gaming,5,2023-07-08 19:31:20,kerja bagus🗿👍🏻
Shandy Arvianto (Shandy),5,2023-07-08 19:30:44,Mantab
Hafizim,2,2023-07-08 19:30:19,Untuk home threads nya jangan terlalu banyak memberikan post Dali influenser tapi utamakan untuk post post dari orang yang kita ikuti saja 🙏
Khairul Azmi,5,2023-07-08 19:29:14,Good
MRXenom 2,5,2023-07-08 19:26:52,Jadilah beta tester untuk melaporkan bug dan fitur. Bukan komen di akun bukan beta tester
Muhamad Choirul Imam,5,2023-07-08 19:26:07,Lebih ditingkatkan lagi agar bisa membuat tagar
Ahmad Hafani,5,2023-07-08 19:25:23,Baguss
rizal musthopa,3,2023-07-08 19:21:41,Apk nya nge bug :(
Shofia Nur Aini,2,2023-07-08 19:17:22,Aplikasi eror
07. Azziza Syifa Maharsi,2,2023-07-08 19:16:02,"gara-gara aku download ini Ig aku gak bisa dibuka, kalau dibuka pasti keluar sendiri terus harus gimana ya, udah ku uninstall aku login lagi masih tetep, tolong kerjasamanya ya"
Rian Hidayat,5,2023-07-08 19:13:32,Lumayan buat ngeluh
Phia Alfiani,3,2023-07-08 19:13:10,TOLONG KASIH TRANSLATE INDONESIA NYA DONGGGGG
Mr Aprzkn,5,2023-07-08 19:12:08,bgus
Dwi Alfian Hadi Santoso,4,2023-07-08 19:09:39,"Sebenernya sudah mulai bagus, cuma saran aja sii kalau ada konten/balasan yang diapus mending gausah ditampilkan lagi 1 balasan agak ganggu ajasiii"
Firmansyah maulana,5,2023-07-08 19:07:28,Good
Dinda X,2,2023-07-08 19:05:40,Kenapa gue ga bisa liat yang gua ikutin njir 😭
shafira syaharani,4,2023-07-08 19:03:32,Ada bug gabisa upload fotooo :'(
Galih Pangestu,5,2023-07-08 18:56:36,Amazing
Radit Ya,1,2023-07-08 18:54:24,Bagusan twitter. Banyak kaum autid.
Yaqut Arsidinata,4,2023-07-08 18:50:47,"Aplikasi nya sangat bagus termasuk fitur² nya, tpi saya kasih segini dlu soalnya kualitas upload foto/video nya masih kurang bagus tidak seperti Instagram"
rafika widya,4,2023-07-08 18:48:33,"Tolong tambah fitur 'edit' ketika membuat thread, saya anaknya typo banget."
Wahid Mustafa Zain,4,2023-07-08 18:45:38,"Sementara bintangnya segini dulu. Soalnya kebanyakan yang tampil di beranda tuh artis, seleb atau centang biru. Seakan kaya gk ada orang lain aja. Dish"
Choirul Anta,5,2023-07-08 18:39:18,Akhirnya bisa berbalas komentar Ama my idol 😂😅😆
Rama Ali Saputra,1,2023-07-08 18:38:56,Gegara apk ini ig gw jadi ga bisa diakses.. telor
Aip Kurniawan,5,2023-07-08 18:37:51,Mantapp.. opsi ketika Twitter udah ga asik..
RAHMALIA AZZAHRA ZAHRA,1,2023-07-08 18:36:38,habis download ini ig jdi gabisa di buka AAAAAAAA
Arnoldus Dustryarjo 2I84,4,2023-07-08 18:34:44,Aplikasinya masih berat diandroid
Sukir Sanjaya,2,2023-07-08 18:24:50,kasih fitur yg sedang trending sama chat donk
際Teddy Fiqih Firmansyah,4,2023-07-08 18:23:51,Nice
Andry Sitompul,5,2023-07-08 18:23:28,Gw suka gaya Lo Mark . Wkkwk
Rama Adhi Nugraha,2,2023-07-08 18:18:23,"Mantap.....! Akan tetapi setiap saya login mesti eror, layar kyk di hantam air. Atau kesemutan"
Uchiha FF,5,2023-07-08 18:16:02,Boleh juga
syahrill game,4,2023-07-08 18:13:59,"sering bug sering banget setiap buka pasti bug gitu, saran gitu bisa hapus akun tanpa harus hapus akun ig"
Sofi Diya,3,2023-07-08 18:13:18,"1. Tolong pisahin antara publik sama orang yang kita ikuti. 2. Balikin lencana threads yang di ig *nyeselhapuslencana. 3. Di hp gw ada bug 4. Tolong tambahin fitur ; save foto / video, poling"
